"time","Spot_Price","Solar_photovoltaic","Combined_cycle","Other_renewables","input_baleares","Cogeneration","Steam_turbine"
2014-08-31,48.83,28.388531,64.729836,11.049663,4865.79,59.735957,5.505002
2014-09-01,45.4,28.313966,122.210946,11.383396,5154.192,67.516454,7.591999
2014-09-02,55.96,27.045184,140.356891,11.498424,5219.251,69.709552,7.68503
2014-09-03,57.48,28.485514,147.829007,11.064231,5258.865,70.864771,7.596986
2014-09-04,64.08,28.466624,132.286928,11.288844,5101.1,72.57852,7.681029
2014-09-05,60,28.640031,151.975669,11.504484,5189.875,72.319998,7.648815
2014-09-06,64.08,25.578105,91.968772,11.300295,4945.752,65.941879,6.138651
2014-09-07,60,22.139166,78.808127,11.091879,4245.004,61.521569,5.76523
2014-09-08,60,24.697822,125.26078,10.518849,5165.252,68.655271,6.867056
2014-09-09,64.6,26.957265,137.613419,10.296007,5001.307,71.18998,7.062991
2014-09-10,64.11,27.378986,129.405848,9.523338,5423.976,70.611695,7.3013
2014-09-11,56.99,26.809513,103.515697,8.678675,5435.942,71.998708,6.745226
2014-09-12,50.57,27.672392,95.868231,10.399681,5409.505,71.706838,6.249389
2014-09-13,57.77,26.169314,64.876203,11.040533,4962.988,66.595064,5.833873
2014-09-14,63.1,25.645399,60.298494,11.082167,4772.606,63.047029,5.083962
2014-09-15,54.9,24.334687,103.225643,10.678146,5364.102,70.727721,5.083401
2014-09-16,62.6,17.597694,72.64227,10.385368,5383.497,71.386577,3.739337
2014-09-17,44.31,18.715185,86.793985,10.666403,5461.906,68.720504,3.457898
2014-09-18,45.4,21.165001,89.697068,10.712415,5283.402,72.006378,3.548438
2014-09-19,45.5,18.71218,91.827001,10.97009,5437.888,74.68109,3.600678
2014-09-20,55.87,22.027523,77.329078,11.057819,5068.396,68.864131,3.606459
2014-09-21,64.43,17.720138,65.542435,11.456024,4540.968,65.738625,3.413486
2014-09-22,44.2,15.13869,96.462943,11.695482,5186.203,72.204819,3.707203
2014-09-23,59.24,18.746609,105.87441,11.803082,4844.88,75.017925,3.976236
2014-09-24,55.28,20.594125,74.096085,11.796448,4675.19,75.789596,3.755483
2014-09-25,46.23,25.442735,74.836353,11.791626,4399.23,75.254605,3.659761
2014-09-26,48.29,23.815549,94.245209,11.914863,4147.977,76.06257,3.691734
2014-09-27,54.87,15.226767,64.263205,11.942277,3691.916,68.716034,4.202129
2014-09-28,57.37,13.818052,71.555757,11.954632,3299.96,65.511543,4.507348
